meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_6,meas_7,meas_8,meas_9,meas_10,meas_11,meas_12,meas_13,meas_14,meas_15,meas_16,meas_17,meas_18,meas_19
0.9692465573157424,0.9955889985469314,,15.682318077740948,,0.11846125979440557,,,,127.87279322015198,2.144021610810368,1.5443878884509292,,,,,,,,
0.9488721566171088,0.9991193170662701,,0.9474978745155139,12.196964058392256,0.23171529352368722,,,,,,,,24.788500908588066,0.5452161571803422,0.22546422904283905,,,,
,0.9877896071200958,,,1.8874488827359233,1.3958968695745932,,,0.03891175415346215,51.98609089731674,,0.6622647545405806,2.0616267225771976,,,,,,,
0.9345586589292146,,,0.925646077911451,,0.4959301646628839,,,0.5338317494493569,0.25442865408932347,187.3235242948579,3.636548385057629,,,,0.3220458361989139,49.89363217278318,0.9992815551305511,,
,0.904419222807445,,0.7429806538161078,0.36511214482399046,14.901183392483798,0.2410025212712249,0.08914739408640189,109.79213609395714,1.9213366565375984,1.1431759629749942,,,,,,,,,
,0.9698038130281805,,0.9924554418163277,,,,,0.5149287388213257,,3.0731802734733846,0.05780468487738707,0.026404395337428322,158.5007549768321,2.626819084111211,1.6453165565713899,,,,
,0.9088702243701173,,,28.799270420896175,0.4277025234007497,0.4349940338251048,,1.4401993032824831,1.0979142952095708,33.58049887674925,,0.25341044972717175,29.421547987518952,,0.27013905205359456,,,,
0.8281846252848146,1.0178209075277125,1.0935560695068518,0.9657035826752565,0.904605290769104,76.26621925331736,1.525570936567522,0.9749245672353348,,0.5277892356796715,0.4628868242109534,,0.08723523715323558,0.06063605953961882,,0.6647377477555859,0.28005172543804296,3.071714695961016,0.06487410582087642,0.03126329405346716
0.9914068082947051,0.9655120049876303,,0.8975390973500045,0.9161365284011384,9.377835018191302,,,,1.6440261562966132,1.0698884247272489,27.83892775505286,,,45.25134175301831,0.6132068924488324,0.681101634851738,29.397088161554404,,0.3081700226492838
1.0399950392225505,0.9650330031944955,,11.218901554339872,,0.10754992926684083,38.97814730682124,,0.3386392095828569,,,,76.85173719972566,,0.8514576473960109,,,,,
,1.0928730976202374,0.9421483722830797,1.00523338632588,,0.5231440991916967,,30.412250999631055,0.5376959843776257,,,0.23282776911355849,0.0892137225770104,130.40631609299015,2.43154849200351,,27.322679693732766,,0.44950484749013825,
1.049235157564606,,1.1448206881946814,,0.1541160880226809,,27.398420061186012,,0.3952441380362426,10.447420058523184,0.1905008220837872,,,,,,,,,
,0.9613851381858501,0.9592489475010888,7.689465803541085,0.11260425925553944,0.049098680132238025,25.43468834976891,0.4847166232338883,,10.274498083434098,0.20338756582946763,,,0.08733365704073706,,,,,,
0.8775497288040218,0.9641983339034254,,0.5953336348298308,0.5606801538262584,12.367484138723855,0.256214248526646,0.10710172202925491,11.596988651302684,,0.09074699104787519,,,,,,,,,
0.9543782208484006,,,40.932108157747194,,,29.156670273576506,,,,0.5871247436543668,0.5853504900152913,,,,,,,,
